dataSubmitter,traceabilityLotCode,productDescription,quantity,unitOfMeasure,harvestDateAndLocation,traceabilityLotCodeSourceLocation,cteDate,referenceDocumentTypeNumber,contaminated,gtin,sgln,pgln,eventID,parentID
Ocean Fisheries,urn:epc:class:lgtin:0852895.910232.1b98da09931169eaa,grouper,562,lb,"2023-06-04 - 2023-06-08
Major Fishing Area 8
Southern Atlantic",0852895.21586,2023-06-11,urn:epcglobal:epcis:LANDING.0852895,0,urn:epc:idpat:sgtin:0852895.910232,urn:epc:id:sgln:0852895.21586,urn:epc:id:pgln:0852895.21586,0852895.21586.9963147,
Deep Delights,urn:epc:class:lgtin:0831833.474043.ee780c3ae9c7bdd5d,clams,694,lb,"2023-06-05 - 2023-06-13
Major Fishing Area 3
Southern Atlantic",0831833.69717,2023-06-15,urn:epcglobal:epcis:LANDING.0831833,0,urn:epc:idpat:sgtin:0831833.474043,urn:epc:id:sgln:0831833.69717,urn:epc:id:pgln:0831833.69717,0831833.69717.3744113,
Tidal Bay,urn:epc:class:lgtin:0920719.615145.a9444afd625fff6d1,barracuda,495,lb,"2023-06-08 - 2023-06-12
Major Fishing Area 9
Southern Atlantic",0920719.84315,2023-06-15,urn:epcglobal:epcis:LANDING.0920719,0,urn:epc:idpat:sgtin:0920719.615145,urn:epc:id:sgln:0920719.84315,urn:epc:id:pgln:0920719.84315,0920719.84315.4706024,
Sea Catches,urn:epc:class:lgtin:0741627.655807.104686280b31efae3,mackerel,979,kg,"2023-07-24 - 2023-07-29
Major Fishing Area 9
Central Pacific",0741627.10885,2023-07-30,urn:epcglobal:epcis:LANDING.0741627,0,urn:epc:idpat:sgtin:0741627.655807,urn:epc:id:sgln:0741627.10885,urn:epc:id:pgln:0741627.10885,0741627.10885.8951080,
Marine Coast,urn:epc:class:lgtin:1194242.762248.31029d86c0f16c084,grouper,416,kg,"2023-06-26 - 2023-07-04
Major Fishing Area 1
Southern Pacific",1194242.45164,2023-07-06,urn:epcglobal:epcis:LANDING.1194242,0,urn:epc:idpat:sgtin:1194242.762248,urn:epc:id:sgln:1194242.45164,urn:epc:id:pgln:1194242.45164,1194242.45164.7966145,
Deep Bay,urn:epc:class:lgtin:0952084.666244.731ba0da266ef4847,oysters,123,lb,"2023-07-16 - 2023-07-23
Major Fishing Area 1
Southern Atlantic",0952084.72068,2023-07-26,urn:epcglobal:epcis:LANDING.0952084,0,urn:epc:idpat:sgtin:0952084.666244,urn:epc:id:sgln:0952084.72068,urn:epc:id:pgln:0952084.72068,0952084.72068.4498196,
Coastal Catchers,urn:epc:class:lgtin:1372683.871840.b672a4c7238ab1e05,jack fish,790,lb,"2023-07-21 - 2023-07-25
Major Fishing Area 2
Central Atlantic",1372683.92429,2023-07-26,urn:epcglobal:epcis:LANDING.1372683,0,urn:epc:idpat:sgtin:1372683.871840,urn:epc:id:sgln:1372683.92429,urn:epc:id:pgln:1372683.92429,1372683.92429.2717431,
Deep Delights,urn:epc:class:lgtin:0831833.842980.e223019a058165a06,shrimp,967,kg,"2023-06-25 - 2023-07-04
Major Fishing Area 1
Central Atlantic",0831833.69717,2023-07-05,urn:epcglobal:epcis:LANDING.0831833,0,urn:epc:idpat:sgtin:0831833.842980,urn:epc:id:sgln:0831833.69717,urn:epc:id:pgln:0831833.69717,0831833.69717.6642462,
Deep Delights,urn:epc:class:lgtin:0831833.832550.0804e297f7f062826,pollock,23,kg,"2023-07-24 - 2023-07-27
Major Fishing Area 7
Northern Atlantic",0831833.69717,2023-07-30,urn:epcglobal:epcis:LANDING.0831833,0,urn:epc:idpat:sgtin:0831833.832550,urn:epc:id:sgln:0831833.69717,urn:epc:id:pgln:0831833.69717,0831833.69717.6579126,
Tidal Maritime,urn:epc:class:lgtin:0618737.832071.fde4bb206393324be,clams,864,kg,"2023-07-04 - 2023-07-06
Major Fishing Area 10
Southern Atlantic",0618737.79714,2023-07-09,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.832071,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.6832814,
Coastal Coast,urn:epc:class:lgtin:1355942.959892.11c92a97d6c51be13,mahi mahi,181,kg,"2023-07-07 - 2023-07-10
Major Fishing Area 9
Southern Atlantic",1355942.84944,2023-07-12,urn:epcglobal:epcis:LANDING.1355942,0,urn:epc:idpat:sgtin:1355942.959892,urn:epc:id:sgln:1355942.84944,urn:epc:id:pgln:1355942.84944,1355942.84944.6192058,
Fresh Bay,urn:epc:class:lgtin:1321636.661504.6ad7a8213588e949a,grouper,733,kg,"2023-07-17 - 2023-07-25
Major Fishing Area 1
Central Pacific",1321636.98872,2023-07-28,urn:epcglobal:epcis:LANDING.1321636,0,urn:epc:idpat:sgtin:1321636.661504,urn:epc:id:sgln:1321636.98872,urn:epc:id:pgln:1321636.98872,1321636.98872.9694790,
Harbor Seafoods,urn:epc:class:lgtin:1386087.744340.b1fffe74d0da202fb,cod,727,lb,"2023-06-29 - 2023-07-01
Major Fishing Area 2
Central Atlantic",1386087.92601,2023-07-02,urn:epcglobal:epcis:LANDING.1386087,0,urn:epc:idpat:sgtin:1386087.744340,urn:epc:id:sgln:1386087.92601,urn:epc:id:pgln:1386087.92601,1386087.92601.7051466,
Deep Catches,urn:epc:class:lgtin:0812028.512965.cd4a8c5bbb35c3023,shrimp,279,kg,"2023-06-03 - 2023-06-07
Major Fishing Area 5
Southern Atlantic",0812028.42473,2023-06-09,urn:epcglobal:epcis:LANDING.0812028,0,urn:epc:idpat:sgtin:0812028.512965,urn:epc:id:sgln:0812028.42473,urn:epc:id:pgln:0812028.42473,0812028.42473.7656970,
Sea Mariscos,urn:epc:class:lgtin:0894453.938570.26b35c2663f430a57,jack fish,170,lb,"2023-07-13 - 2023-07-23
Major Fishing Area 2
Central Pacific",0894453.14301,2023-07-25,urn:epcglobal:epcis:LANDING.0894453,0,urn:epc:idpat:sgtin:0894453.938570,urn:epc:id:sgln:0894453.14301,urn:epc:id:pgln:0894453.14301,0894453.14301.6671088,
Harbor Mariscos,urn:epc:class:lgtin:0659962.102568.7b58deb89787b51a7,amberjack,408,kg,"2023-07-20 - 2023-07-28
Major Fishing Area 3
Southern Atlantic",0659962.23535,2023-07-30,urn:epcglobal:epcis:LANDING.0659962,0,urn:epc:idpat:sgtin:0659962.102568,urn:epc:id:sgln:0659962.23535,urn:epc:id:pgln:0659962.23535,0659962.23535.2902284,
Aqua Fisheries,urn:epc:class:lgtin:0923223.456592.6a28f3972e81bdd52,mussels,394,kg,"2023-07-01 - 2023-07-05
Major Fishing Area 9
Central Atlantic",0923223.23095,2023-07-07,urn:epcglobal:epcis:LANDING.0923223,0,urn:epc:idpat:sgtin:0923223.456592,urn:epc:id:sgln:0923223.23095,urn:epc:id:pgln:0923223.23095,0923223.23095.1334389,
Harbor Maritime,urn:epc:class:lgtin:0798342.507780.83422c98d0c53219f,mackerel,672,kg,"2023-06-10 - 2023-06-17
Major Fishing Area 3
Central Atlantic",0798342.16978,2023-06-18,urn:epcglobal:epcis:LANDING.0798342,0,urn:epc:idpat:sgtin:0798342.507780,urn:epc:id:sgln:0798342.16978,urn:epc:id:pgln:0798342.16978,0798342.16978.7358738,
Deep Fisheries,urn:epc:class:lgtin:1090537.708789.e1309a414dc025933,pollock,683,kg,"2023-06-30 - 2023-07-06
Major Fishing Area 8
Southern Pacific",1090537.28416,2023-07-09,urn:epcglobal:epcis:LANDING.1090537,0,urn:epc:idpat:sgtin:1090537.708789,urn:epc:id:sgln:1090537.28416,urn:epc:id:pgln:1090537.28416,1090537.28416.4717127,
Marine Maritime,urn:epc:class:lgtin:1394496.839670.1d44175823cde4ed5,haddock,169,kg,"2023-06-07 - 2023-06-15
Major Fishing Area 1
Northern Atlantic",1394496.15347,2023-06-16,urn:epcglobal:epcis:LANDING.1394496,0,urn:epc:idpat:sgtin:1394496.839670,urn:epc:id:sgln:1394496.15347,urn:epc:id:pgln:1394496.15347,1394496.15347.6866275,
Sea Delights,urn:epc:class:lgtin:1375067.643717.2ac58f1277ba8c524,oysters,830,lb,"2023-06-11 - 2023-06-17
Major Fishing Area 9
Northern Pacific",1375067.65768,2023-06-18,urn:epcglobal:epcis:LANDING.1375067,0,urn:epc:idpat:sgtin:1375067.643717,urn:epc:id:sgln:1375067.65768,urn:epc:id:pgln:1375067.65768,1375067.65768.1564776,
Coastal Coast,urn:epc:class:lgtin:1355942.218966.b7e2345389e932f9a,haddock,123,lb,"2023-06-14 - 2023-06-22
Major Fishing Area 10
Northern Atlantic",1355942.84944,2023-06-24,urn:epcglobal:epcis:LANDING.1355942,0,urn:epc:idpat:sgtin:1355942.218966,urn:epc:id:sgln:1355942.84944,urn:epc:id:pgln:1355942.84944,1355942.84944.3223188,
Deep Bay,urn:epc:class:lgtin:0854321.634835.6190cb2b1f99942f2,tuna,834,lb,"2023-07-21 - 2023-07-29
Major Fishing Area 8
Northern Atlantic",0854321.52130,2023-07-30,urn:epcglobal:epcis:LANDING.0854321,0,urn:epc:idpat:sgtin:0854321.634835,urn:epc:id:sgln:0854321.52130,urn:epc:id:pgln:0854321.52130,0854321.52130.9464910,
Aqua Mariscos,urn:epc:class:lgtin:1122885.486228.827ec85f93005cab6,haddock,933,lb,"2023-07-17 - 2023-07-24
Major Fishing Area 1
Central Atlantic",1122885.27874,2023-07-26,urn:epcglobal:epcis:LANDING.1122885,0,urn:epc:idpat:sgtin:1122885.486228,urn:epc:id:sgln:1122885.27874,urn:epc:id:pgln:1122885.27874,1122885.27874.9705568,
Fresh Mariscos,urn:epc:class:lgtin:0615440.487198.6a4d9ab396c12b5f3,mussels,365,lb,"2023-07-02 - 2023-07-12
Major Fishing Area 4
Northern Atlantic",0615440.57508,2023-07-15,urn:epcglobal:epcis:LANDING.0615440,0,urn:epc:idpat:sgtin:0615440.487198,urn:epc:id:sgln:0615440.57508,urn:epc:id:pgln:0615440.57508,0615440.57508.7517950,
Coastal Catchers,urn:epc:class:lgtin:1372683.392376.b9529dddd1d46d94f,haddock,61,lb,"2023-07-04 - 2023-07-14
Major Fishing Area 8
Northern Atlantic",1372683.92429,2023-07-16,urn:epcglobal:epcis:LANDING.1372683,0,urn:epc:idpat:sgtin:1372683.392376,urn:epc:id:sgln:1372683.92429,urn:epc:id:pgln:1372683.92429,1372683.92429.8913294,
Sea Catchers,urn:epc:class:lgtin:0929124.230999.d20a9fd3d03f8c8f5,snapper,658,kg,"2023-07-11 - 2023-07-21
Major Fishing Area 9
Northern Pacific",0929124.58823,2023-07-24,urn:epcglobal:epcis:LANDING.0929124,0,urn:epc:idpat:sgtin:0929124.230999,urn:epc:id:sgln:0929124.58823,urn:epc:id:pgln:0929124.58823,0929124.58823.9560357,
Harbor Maritime,urn:epc:class:lgtin:0798342.787337.fb985408f43d59808,cod,884,kg,"2023-06-08 - 2023-06-18
Major Fishing Area 10
Southern Atlantic",0798342.16978,2023-06-21,urn:epcglobal:epcis:LANDING.0798342,0,urn:epc:idpat:sgtin:0798342.787337,urn:epc:id:sgln:0798342.16978,urn:epc:id:pgln:0798342.16978,0798342.16978.5645340,
Marine Maritime,urn:epc:class:lgtin:1087774.690659.85c43b08dd805d1f6,pollock,637,kg,"2023-06-10 - 2023-06-13
Major Fishing Area 10
Central Atlantic",1087774.52772,2023-06-15,urn:epcglobal:epcis:LANDING.1087774,0,urn:epc:idpat:sgtin:1087774.690659,urn:epc:id:sgln:1087774.52772,urn:epc:id:pgln:1087774.52772,1087774.52772.8345156,
Deep Aquatics,urn:epc:class:lgtin:0973119.607515.96ec1743ceec91463,grouper,882,lb,"2023-06-16 - 2023-06-25
Major Fishing Area 2
Northern Atlantic",0973119.45513,2023-06-26,urn:epcglobal:epcis:LANDING.0973119,0,urn:epc:idpat:sgtin:0973119.607515,urn:epc:id:sgln:0973119.45513,urn:epc:id:pgln:0973119.45513,0973119.45513.1452347,
Deep Delights,urn:epc:class:lgtin:1130558.796094.4733e280989434b0d,barracuda,166,lb,"2023-07-06 - 2023-07-10
Major Fishing Area 1
Northern Pacific",1130558.91258,2023-07-12,urn:epcglobal:epcis:LANDING.1130558,0,urn:epc:idpat:sgtin:1130558.796094,urn:epc:id:sgln:1130558.91258,urn:epc:id:pgln:1130558.91258,1130558.91258.9251624,
Sea Maritime,urn:epc:class:lgtin:0746852.195422.b577cab3ca0f356ec,grouper,77,kg,"2023-07-05 - 2023-07-13
Major Fishing Area 2
Central Atlantic",0746852.86054,2023-07-15,urn:epcglobal:epcis:LANDING.0746852,0,urn:epc:idpat:sgtin:0746852.195422,urn:epc:id:sgln:0746852.86054,urn:epc:id:pgln:0746852.86054,0746852.86054.6353839,
Fresh Bay,urn:epc:class:lgtin:1321636.755798.19b62f03d27973d90,swordfish,899,kg,"2023-07-04 - 2023-07-10
Major Fishing Area 10
Northern Pacific",1321636.98872,2023-07-12,urn:epcglobal:epcis:LANDING.1321636,0,urn:epc:idpat:sgtin:1321636.755798,urn:epc:id:sgln:1321636.98872,urn:epc:id:pgln:1321636.98872,1321636.98872.9541920,
Deep Seafoods,urn:epc:class:lgtin:0772202.586753.a6bc396897fc6eecd,lobster,63,lb,"2023-06-13 - 2023-06-21
Major Fishing Area 4
Northern Atlantic",0772202.90233,2023-06-24,urn:epcglobal:epcis:LANDING.0772202,0,urn:epc:idpat:sgtin:0772202.586753,urn:epc:id:sgln:0772202.90233,urn:epc:id:pgln:0772202.90233,0772202.90233.3338091,
Coastal Mariscos,urn:epc:class:lgtin:1114768.598608.565eed91255a588c2,grouper,227,lb,"2023-07-23 - 2023-07-28
Major Fishing Area 8
Central Atlantic",1114768.13145,2023-07-30,urn:epcglobal:epcis:LANDING.1114768,0,urn:epc:idpat:sgtin:1114768.598608,urn:epc:id:sgln:1114768.13145,urn:epc:id:pgln:1114768.13145,1114768.13145.5666422,
Aqua Aquatics,urn:epc:class:lgtin:0695923.508459.715879ffe881fc35c,grouper,142,kg,"2023-06-19 - 2023-06-23
Major Fishing Area 1
Northern Atlantic",0695923.83700,2023-06-24,urn:epcglobal:epcis:LANDING.0695923,0,urn:epc:idpat:sgtin:0695923.508459,urn:epc:id:sgln:0695923.83700,urn:epc:id:pgln:0695923.83700,0695923.83700.2122428,
Wave Delights,urn:epc:class:lgtin:0636926.333006.d10fb9b0ce8fbf7e4,mackerel,756,kg,"2023-07-19 - 2023-07-24
Major Fishing Area 4
Southern Atlantic",0636926.81674,2023-07-26,urn:epcglobal:epcis:LANDING.0636926,0,urn:epc:idpat:sgtin:0636926.333006,urn:epc:id:sgln:0636926.81674,urn:epc:id:pgln:0636926.81674,0636926.81674.8083053,
Tidal Coast,urn:epc:class:lgtin:1392244.710015.c02b45ce3971e2840,mussels,791,kg,"2023-07-06 - 2023-07-15
Major Fishing Area 3
Southern Atlantic",1392244.97244,2023-07-18,urn:epcglobal:epcis:LANDING.1392244,0,urn:epc:idpat:sgtin:1392244.710015,urn:epc:id:sgln:1392244.97244,urn:epc:id:pgln:1392244.97244,1392244.97244.9815502,
Fresh Bay,urn:epc:class:lgtin:1321636.207323.348241a446a875639,mackerel,73,kg,"2023-07-12 - 2023-07-14
Major Fishing Area 5
Southern Pacific",1321636.98872,2023-07-15,urn:epcglobal:epcis:LANDING.1321636,0,urn:epc:idpat:sgtin:1321636.207323,urn:epc:id:sgln:1321636.98872,urn:epc:id:pgln:1321636.98872,1321636.98872.9142460,
Tidal Coast,urn:epc:class:lgtin:1392244.489261.8e792ab32a62cecb6,snapper,808,lb,"2023-07-05 - 2023-07-13
Major Fishing Area 8
Southern Atlantic",1392244.97244,2023-07-14,urn:epcglobal:epcis:LANDING.1392244,0,urn:epc:idpat:sgtin:1392244.489261,urn:epc:id:sgln:1392244.97244,urn:epc:id:pgln:1392244.97244,1392244.97244.4779377,
Fresh Aquatics,urn:epc:class:lgtin:0814012.846886.e36a1f7a6ac1b0e6c,swordfish,652,lb,"2023-07-03 - 2023-07-12
Major Fishing Area 10
Central Atlantic",0814012.13007,2023-07-14,urn:epcglobal:epcis:LANDING.0814012,0,urn:epc:idpat:sgtin:0814012.846886,urn:epc:id:sgln:0814012.13007,urn:epc:id:pgln:0814012.13007,0814012.13007.3564558,
Fresh Seafoods,urn:epc:class:lgtin:0989423.457258.a7c3547754a3b3526,tuna,779,kg,"2023-06-08 - 2023-06-16
Major Fishing Area 6
Southern Pacific",0989423.71961,2023-06-18,urn:epcglobal:epcis:LANDING.0989423,0,urn:epc:idpat:sgtin:0989423.457258,urn:epc:id:sgln:0989423.71961,urn:epc:id:pgln:0989423.71961,0989423.71961.7591506,
Deep Fisheries,urn:epc:class:lgtin:1090537.790706.a4c2a87cb15dd2b72,jack fish,614,lb,"2023-07-25 - 2023-08-04
Major Fishing Area 4
Central Pacific",1090537.28416,2023-08-07,urn:epcglobal:epcis:LANDING.1090537,0,urn:epc:idpat:sgtin:1090537.790706,urn:epc:id:sgln:1090537.28416,urn:epc:id:pgln:1090537.28416,1090537.28416.4375366,
Wave Coast,urn:epc:class:lgtin:0675459.119383.6d496ef8bf59195a0,snapper,713,lb,"2023-06-14 - 2023-06-19
Major Fishing Area 4
Southern Atlantic",0675459.59752,2023-06-20,urn:epcglobal:epcis:LANDING.0675459,0,urn:epc:idpat:sgtin:0675459.119383,urn:epc:id:sgln:0675459.59752,urn:epc:id:pgln:0675459.59752,0675459.59752.4723779,
Harbor Maritime,urn:epc:class:lgtin:0798342.515971.704fe41574a6c63f4,lobster,350,kg,"2023-07-17 - 2023-07-23
Major Fishing Area 2
Northern Atlantic",0798342.16978,2023-07-24,urn:epcglobal:epcis:LANDING.0798342,0,urn:epc:idpat:sgtin:0798342.515971,urn:epc:id:sgln:0798342.16978,urn:epc:id:pgln:0798342.16978,0798342.16978.7557839,
Deep Delights,urn:epc:class:lgtin:0960575.557025.635ca88e294a67ae7,cod,932,kg,"2023-07-24 - 2023-07-29
Major Fishing Area 8
Central Pacific",0960575.31097,2023-08-01,urn:epcglobal:epcis:LANDING.0960575,0,urn:epc:idpat:sgtin:0960575.557025,urn:epc:id:sgln:0960575.31097,urn:epc:id:pgln:0960575.31097,0960575.31097.1660401,
Fresh Aquatics,urn:epc:class:lgtin:0814012.744056.781d16d9fde112a1e,pollock,45,kg,"2023-06-18 - 2023-06-20
Major Fishing Area 4
Southern Atlantic",0814012.13007,2023-06-23,urn:epcglobal:epcis:LANDING.0814012,0,urn:epc:idpat:sgtin:0814012.744056,urn:epc:id:sgln:0814012.13007,urn:epc:id:pgln:0814012.13007,0814012.13007.2010368,
Ocean Catches,urn:epc:class:lgtin:0936963.290744.0ec4f2792b430abdc,tilapia,221,lb,"2023-07-15 - 2023-07-17
Major Fishing Area 4
Central Atlantic",0936963.69103,2023-07-18,urn:epcglobal:epcis:LANDING.0936963,0,urn:epc:idpat:sgtin:0936963.290744,urn:epc:id:sgln:0936963.69103,urn:epc:id:pgln:0936963.69103,0936963.69103.1432412,
Tidal Bay,urn:epc:class:lgtin:0726181.591864.5320346715bbc0376,crayfish,833,lb,"2023-06-07 - 2023-06-17
Major Fishing Area 3
Northern Atlantic",0726181.86044,2023-06-20,urn:epcglobal:epcis:LANDING.0726181,0,urn:epc:idpat:sgtin:0726181.591864,urn:epc:id:sgln:0726181.86044,urn:epc:id:pgln:0726181.86044,0726181.86044.8238526,
Coastal Mariscos,urn:epc:class:lgtin:1114768.555987.af317b4e33bde6944,cod,329,kg,"2023-07-16 - 2023-07-18
Major Fishing Area 7
Central Atlantic",1114768.13145,2023-07-21,urn:epcglobal:epcis:LANDING.1114768,0,urn:epc:idpat:sgtin:1114768.555987,urn:epc:id:sgln:1114768.13145,urn:epc:id:pgln:1114768.13145,1114768.13145.2838036,
Wave Mariscos,urn:epc:class:lgtin:0738877.261725.84a80cf9d7f048a5f,crayfish,543,lb,"2023-07-01 - 2023-07-07
Major Fishing Area 9
Central Atlantic",0738877.83532,2023-07-10,urn:epcglobal:epcis:LANDING.0738877,0,urn:epc:idpat:sgtin:0738877.261725,urn:epc:id:sgln:0738877.83532,urn:epc:id:pgln:0738877.83532,0738877.83532.6180138,
Sea Mariscos,urn:epc:class:lgtin:0894453.662933.59cab27522751859c,swordfish,816,lb,"2023-06-09 - 2023-06-13
Major Fishing Area 4
Southern Pacific",0894453.14301,2023-06-16,urn:epcglobal:epcis:LANDING.0894453,0,urn:epc:idpat:sgtin:0894453.662933,urn:epc:id:sgln:0894453.14301,urn:epc:id:pgln:0894453.14301,0894453.14301.2678622,
Marine Delights,urn:epc:class:lgtin:0639807.673549.5ebe46b6e1c0a43e1,crab,82,lb,"2023-07-25 - 2023-07-31
Major Fishing Area 3
Northern Pacific",0639807.25768,2023-08-01,urn:epcglobal:epcis:LANDING.0639807,0,urn:epc:idpat:sgtin:0639807.673549,urn:epc:id:sgln:0639807.25768,urn:epc:id:pgln:0639807.25768,0639807.25768.4606812,
Aqua Mariscos,urn:epc:class:lgtin:1317922.974671.1539f5d76769055e1,jack fish,333,kg,"2023-06-25 - 2023-07-05
Major Fishing Area 1
Northern Atlantic",1317922.99311,2023-07-08,urn:epcglobal:epcis:LANDING.1317922,0,urn:epc:idpat:sgtin:1317922.974671,urn:epc:id:sgln:1317922.99311,urn:epc:id:pgln:1317922.99311,1317922.99311.3268701,
Coastal Catchers,urn:epc:class:lgtin:1122227.899395.55c798f85a19de64f,oysters,825,kg,"2023-07-25 - 2023-08-03
Major Fishing Area 4
Northern Atlantic",1122227.55899,2023-08-05,urn:epcglobal:epcis:LANDING.1122227,0,urn:epc:idpat:sgtin:1122227.899395,urn:epc:id:sgln:1122227.55899,urn:epc:id:pgln:1122227.55899,1122227.55899.7865363,
Ocean Aquatics,urn:epc:class:lgtin:0739683.993245.2942c61f63f432eb8,snapper,686,lb,"2023-06-04 - 2023-06-13
Major Fishing Area 5
Southern Atlantic",0739683.50788,2023-06-14,urn:epcglobal:epcis:LANDING.0739683,0,urn:epc:idpat:sgtin:0739683.993245,urn:epc:id:sgln:0739683.50788,urn:epc:id:pgln:0739683.50788,0739683.50788.8178080,
Fresh Aquatics,urn:epc:class:lgtin:0814012.274394.43814d312f8f6d039,crayfish,931,lb,"2023-06-13 - 2023-06-15
Major Fishing Area 9
Southern Atlantic",0814012.13007,2023-06-17,urn:epcglobal:epcis:LANDING.0814012,0,urn:epc:idpat:sgtin:0814012.274394,urn:epc:id:sgln:0814012.13007,urn:epc:id:pgln:0814012.13007,0814012.13007.9975892,
Coastal Catchers,urn:epc:class:lgtin:1122227.482161.ff3e4b62fb381f863,barracuda,205,kg,"2023-07-10 - 2023-07-12
Major Fishing Area 2
Northern Atlantic",1122227.55899,2023-07-13,urn:epcglobal:epcis:LANDING.1122227,0,urn:epc:idpat:sgtin:1122227.482161,urn:epc:id:sgln:1122227.55899,urn:epc:id:pgln:1122227.55899,1122227.55899.6386450,
Fresh Seafoods,urn:epc:class:lgtin:0989423.739958.1e13519263fc5ffc0,cod,146,kg,"2023-07-05 - 2023-07-15
Major Fishing Area 5
Southern Pacific",0989423.71961,2023-07-18,urn:epcglobal:epcis:LANDING.0989423,0,urn:epc:idpat:sgtin:0989423.739958,urn:epc:id:sgln:0989423.71961,urn:epc:id:pgln:0989423.71961,0989423.71961.2207309,
Deep Maritime,urn:epc:class:lgtin:1047486.398579.e2951a08f1b4a61ad,salmon,34,kg,"2023-07-01 - 2023-07-09
Major Fishing Area 9
Southern Pacific",1047486.63117,2023-07-11,urn:epcglobal:epcis:LANDING.1047486,0,urn:epc:idpat:sgtin:1047486.398579,urn:epc:id:sgln:1047486.63117,urn:epc:id:pgln:1047486.63117,1047486.63117.4918570,
