businessType,businessName,primaryPhone,streetAddress,city,state,zip,companyPrefix,sizeWeight,gln
farm,Golden Harvest Farm,(735)945-4515,1393 Cruz Mountains,Weissmouth,DE,54748,0914306,0.05,0914306.22310
groceryNoTransform,Wholesome Market,(546)460-6385,0326 Mary Glen,East Danielle,NH,69024,0811462,0.15,0811462.56258
restaurant,Tasty Restaurant,(211)722-4979,4021 Barnett Burgs Suite 515,Reynoldshaven,MP,28313,0681849,0.05,0681849.42919
distributor,Quality Network,(970)338-8270,61868 Jones Islands,Kellyland,TN,34597,1157452,0.15,1157452.92366
packaging,Secure Wrap,341-278-6684,39433 Sanchez Villages Suite 253,Roseborough,MS,91677,0898966,0.15,0898966.95717
grocery,Wholesome Mart,(833)504-0465,06240 Brian Plain,East Williamview,AK,59841,1323065,0.05,1323065.36020
distributor,Fine Wholesalers,6668377959,3354 Frederick Run Apt. 240,East Marcfort,MD,50772,1068203,0.15,1068203.45678
restaurant,Delicious Cafe,591-906-7912,30404 Hawkins Knoll Suite 712,Freemanfurt,WY,30694,0781200,0.15,0781200.56537
grocery,Wholesome Foods,9273097346,8142 Williams Flats,South Mark,IN,58506,0758537,0.15,0758537.67276
restaurant,Gourmet Tavern,6166524632,25501 James Heights Suite 911,Amandaburgh,OR,11244,0699859,0.15,0699859.87745
distributor,Superior Supply,(609)371-6705,799 Catherine Motorway,West Kimview,UT,96407,1062685,0.05,1062685.44813
grocery,Tasty Emporium,6254742699,7139 Leslie Plaza,Lake Melissa,OH,55469,0715719,0.15,0715719.17626
distributor,Reliable Services,258-317-0668,29698 Todd Forest,Burkeville,MS,88208,1016460,0.05,1016460.80660
landBasedReceiver,Marine Fisheries,7152575951,2162 Hannah Pine Apt. 278,Roberttown,OR,67742,1062634,0.05,1062634.54627
processor,Global Foods,3918501681,4061 Solis Port Suite 277,Mollyburgh,MI,13301,0691092,0.15,0691092.92992
seafoodFarm,Nautical Aquaculture,393-880-3497,0347 Tyler Freeway Apt. 566,Davidport,AK,04356,0750933,0.8,0750933.13545
seafoodFarm,Aqua Fishery,4404140040,13537 Dennis Freeway,Jamesview,NJ,29997,1250350,0.05,1250350.55196
distributor,Premium Logistics,784-697-4826,5224 Novak Mission,Migueltown,MS,56059,1232827,0.8,1232827.64118
restaurant,Delicious Bistro,887-587-2384,76494 Patrick Ramp Suite 858,Linborough,RI,75860,0981956,0.05,0981956.95998
wholesaler,Premium Traders,252-598-1591,601 Harding Mountain Apt. 952,East Joshua,PW,43448,0860846,0.05,0860846.43765
packaging,Eco Encase,(859)313-2942,490 Banks Island Apt. 200,North Jacqueline,VI,95446,1085436,0.05,1085436.15689
distributor,Prime Distributors,790-453-9208,3362 Charles Hills Suite 474,Lake Victoriamouth,PW,73973,0767741,0.15,0767741.63933
restaurant,Flavorful Bistro,(580)675-9235,4760 Salas Track Suite 047,West Andreatown,HI,81256,0724150,0.8,0724150.80223
distributor,Superior Distribution,9962668028,90147 Skinner Rapid,West Erinfurt,MI,71011,1146016,0.15,1146016.80472
distributor,Prime Distributors,532-451-4506,8588 Heather Springs Suite 017,South Reginald,CO,36914,1328632,0.05,1328632.87642
packaging,Premium Containers,(290)602-7269,97308 Perry Loop Apt. 026,Danielfort,WY,22529,0738717,0.15,0738717.88728
grocery,Delicious Emporium,622-651-2081,67041 Francisco Route,West Paul,OH,78627,1065211,0.05,1065211.34709
processor,Organic Processing,291-246-4489,6008 Carter Station,Johnsonview,OR,12834,1331781,0.05,1331781.49030
landBasedReceiver,Sea Catches,5279140641,3987 Russo River,New Cynthia,OR,09405,1320059,0.05,1320059.94740
processor,Organic Provisions,7743626248,825 Miller Estates,Lake Cathy,VT,76690,0756838,0.8,0756838.22357
grocery,Wholesome Grocery,383-794-5607,2016 Mckinney Gateway,West Laura,NY,58267,1262020,0.15,1262020.89609
grocery,Fresh Store,(395)764-4064,6945 Davis Motorway Suite 041,South Williamview,ME,55195,1219803,0.05,1219803.47022
distributor,Premium Distributors,8574690501,57180 Vanessa Orchard Apt. 691,North Anthonyland,MH,41608,1077409,0.15,1077409.77268
distributor,Reliable Distribution,483-906-7987,601 Morrow Cove,Christophermouth,FM,77221,1279346,0.8,1279346.26919
processor,Premium Foods,852-854-0020,779 Paul Fords Apt. 453,Lake Charlesville,GA,87675,0832200,0.05,0832200.54644
restaurant,Delicious Kitchen,(723)248-8115,512 April Wall Apt. 585,South Seth,NJ,58014,0840295,0.05,0840295.24572
wholesaler,Select Distributors,9126941603,12425 Thomas Lakes,Brendantown,IN,12918,1162286,0.05,1162286.79075
seafoodFarm,Marine Fishery,9462848733,815 Duran Underpass Apt. 461,Lake Kendra,WA,00560,1031824,0.8,1031824.33922
grocery,Fresh Mart,(614)630-3494,713 Anthony Way Suite 472,West Joseph,AR,21856,0650329,0.15,0650329.74563
packaging,Secure Seal,937-684-6951,6229 Leah Grove Suite 291,West Connor,MA,76230,0630607,0.8,0630607.92073
restaurant,Cozy Restaurant,(650)539-2526,936 Fitzpatrick Mountain Suite 726,New Emily,SC,80155,0666397,0.05,0666397.87686
groceryNoTransform,Delicious Foods,446-873-7478,874 Moore Cliff,Lake Michael,IL,25440,0868452,0.05,0868452.86643
packaging,Green Packaging,273-681-1138,40447 Copeland Burg,Curtiston,KY,77243,0956527,0.05,0956527.96110
wholesaler,Select Imports,8135608860,746 Thompson Green Suite 101,Hillfort,SC,50665,1342986,0.8,1342986.67179
seafoodFarm,Blue Aquafarm,(261)875-0901,46687 Chen Glens Suite 257,Lake Brookeborough,SC,15877,0699401,0.05,0699401.18272
wholesaler,Select Trading,695-532-3473,78112 Candice Forest Suite 318,Jennabury,AR,93539,1066375,0.05,1066375.99780
grocery,Healthy Outlet,6389794953,6505 Boyer Row,Morrisfurt,AZ,15171,1327826,0.15,1327826.28589
processor,Fresh Cuisine,5415574430,027 Chan Underpass,East David,AS,20925,1376451,0.05,1376451.97774
landBasedReceiver,Deep Bay,6896558088,370 Jason Avenue,Villarrealberg,SC,94831,0854321,0.8,0854321.52130
seafoodFarm,Ocean Aquaculture,(361)440-6489,3538 Brian Way Suite 868,New Jamie,DE,39269,0965048,0.05,0965048.39456
seafoodFarm,Aqua Fish Haven,968-986-5799,460 Rosario Drive,New Calebchester,CT,15335,0661305,0.05,0661305.77288
farm,Lucky Grove Farm,231-878-9404,33883 Mann Isle,Anthonychester,VT,34953,0845739,0.05,0845739.38295
distributor,Trusted Services,8707491581,70449 Angela Lodge,East Stephanie,WI,27682,0677300,0.15,0677300.42853
groceryNoTransform,Tasty Bazaar,976-362-8996,074 Mason Harbor Suite 432,Hardyberg,VI,28981,0715003,0.15,0715003.58811
distributor,Fine Trade,8868092835,61528 Jane Lock,North Alejandraview,SC,18837,1225377,0.15,1225377.78040
farm,Happy Hills Farm,(628)830-7396,533 Ronald Summit Suite 205,Cookmouth,TN,80401,0764294,0.15,0764294.63703
packaging,Premium Encase,7466421238,443 Martin Dam Apt. 572,North Chad,ND,29749,1311299,0.05,1311299.33629
restaurant,Flavorful Kitchen,(323)838-4557,417 Sanders Plaza,Phillipsport,AR,95977,1067811,0.05,1067811.89642
grocery,Premium Emporium,(554)819-1119,210 Christina Branch,Nataliestad,PW,41215,0749049,0.05,0749049.64069
wholesaler,Fresh Provisions,3365087472,717 Cain Street Apt. 817,South Alisonburgh,NV,44561,0964246,0.05,0964246.38502
farm,Sunny Fields Farm,3777120796,24474 Conner Crossroad Apt. 514,West Heatherbury,LA,34265,1043501,0.05,1043501.86050
landBasedReceiver,Sea Maritime,8552063703,275 Paul Tunnel Suite 038,Lake Melissaview,WA,62424,0979501,0.05,0979501.72325
processor,Quality Processing,866-888-0480,00148 Hannah Parks Suite 527,Suttonview,KY,71466,1229862,0.15,1229862.15182
packaging,Advanced Packaging,474-659-6118,0795 Patricia Lodge Suite 867,Seanside,FL,42597,0663139,0.15,0663139.79742
groceryNoTransform,Gourmet Outlet,8734298483,5751 Lane Path,North Amandatown,MD,93528,0886384,0.8,0886384.48978
groceryNoTransform,Fresh Outlet,908-329-7512,534 Anthony Manors,South Ericamouth,DC,83530,0793985,0.05,0793985.23986
restaurant,Charming Bistro,989-952-6814,87911 Martin Forest,Susanmouth,IA,38303,0821281,0.8,0821281.21095
farm,Green Grove Farm,2969209607,877 Jeff Trail Suite 487,Jamesville,WA,93749,0614241,0.05,0614241.43356
landBasedReceiver,Sea Catchers,3995309179,7662 Emma River,Amandafort,MS,87458,1324748,0.05,1324748.77440
distributor,International Wholesalers,487-897-5206,831 Blair Circles Apt. 333,Port Paul,AS,09410,1263136,0.8,1263136.48068
restaurant,Exquisite Diner,434-524-5478,055 Price Stravenue Suite 489,West Shelley,FL,66051,0968250,0.15,0968250.64004
processor,Healthy Products,(655)994-7374,844 Arroyo Stream,Murrayville,VI,00512,0840572,0.05,0840572.24910
landBasedReceiver,Sea Catches,818-733-4114,1195 Thomas Canyon,New Anthonychester,CA,99659,0741627,0.15,0741627.10885
landBasedReceiver,Wave Coast,271-427-8604,084 Andrea Turnpike Apt. 553,East Matthewstad,DE,38857,1132104,0.05,1132104.40337
wholesaler,Prime Market,(205)666-8433,0355 John Viaduct Suite 862,East Joshua,LA,92483,0875904,0.05,0875904.92248
seafoodFarm,Blue Fish Haven,(837)806-9102,993 Cantu Neck Suite 029,Katelynhaven,GA,75143,1095252,0.05,1095252.26102
seafoodFarm,Sea Fishery,(208)590-1696,85857 White Oval,Powellshire,AK,52781,1397005,0.05,1397005.85664
seafoodFarm,Blue Fishery,(662)559-1078,132 Powers Stravenue Suite 034,Davisbury,OR,86723,1160463,0.15,1160463.69090
landBasedReceiver,Ocean Fisheries,(696)648-3927,720 Breanna Drives,East Patricia,AK,24193,1326133,0.05,1326133.80876
groceryNoTransform,Premium Outlet,(383)596-9035,7959 Monica Stream,Lake Sarahton,IL,94113,1215873,0.15,1215873.15380
packaging,Green Seal,541-692-7809,322 John Bridge,New Coleland,HI,39917,1144339,0.15,1144339.81274
grocery,Fresh Bazaar,6092934081,297 Dana Oval Apt. 431,Hughestown,AK,09362,0765065,0.05,0765065.69556
seafoodFarm,Nautical Aquafarm,803-521-2434,05192 Timothy Parkways Apt. 245,Jenniferfort,AK,46546,1032634,0.05,1032634.29492
landBasedReceiver,Coastal Bay,(530)596-7775,600 Lee Plain,South Caleb,GA,20474,1364536,0.05,1364536.28487
groceryNoTransform,Fine Store,305-319-4856,558 Nelson Inlet Apt. 783,Sharonport,CT,43792,0724180,0.05,0724180.69366
processor,Pure Processing,(862)682-1051,72545 Nathan Forge,East Brenda,FL,01957,0743087,0.15,0743087.28683
groceryNoTransform,Fresh Emporium,(355)950-1084,5099 Wang Expressway,East Chelsea,IA,70952,0777705,0.05,0777705.25240
restaurant,Authentic Tavern,727-554-6169,973 William Hill Apt. 417,Angelastad,GA,94432,0993816,0.15,0993816.31720
wholesaler,Prime Imports,7442066129,96603 William Estates Suite 292,South Janetshire,WA,34417,1017131,0.05,1017131.99406
groceryNoTransform,Delicious Foods,899-649-6470,708 Rivera Isle Apt. 113,North Bryanburgh,NC,30150,1388968,0.05,1388968.41131
seafoodFarm,Ocean Fish Haven,6788869844,26135 Mcintyre Junction Suite 111,South Devon,DE,28280,0713923,0.15,0713923.55414
grocery,Fine Market,(971)447-0869,9243 Stephenson Plaza,Ashleyberg,AK,11816,1099545,0.8,1099545.16259
processor,Natural Industries,6619186289,2256 Avila Lakes Apt. 634,West Jaredchester,MA,31926,0930192,0.05,0930192.42013
processor,Pure Provisions,(201)399-1840,79909 Marc Rue Suite 162,West Jordanton,ID,95682,0794435,0.15,0794435.87097
farm,Happy Acres Farm,892-290-9683,61314 Greene Views Suite 532,East Austinfurt,MP,41339,1227837,0.15,1227837.26034
restaurant,Flavorful Restaurant,849-902-5336,36981 Walker View Apt. 031,Debrabury,GA,44722,1095103,0.05,1095103.92776
wholesaler,Premium Market,(680)292-6846,5490 Travis Hills,North Michaelview,MH,82361,1169007,0.05,1169007.84409
processor,Healthy Industries,7926820378,1185 Smith Passage Suite 752,West Sergioton,PA,56144,1298977,0.05,1298977.51503
landBasedReceiver,Coastal Coast,846-263-2125,28754 Jessica Squares,Port Annaberg,MA,40726,1355942,0.8,1355942.84944
restaurant,Authentic Eatery,4338964553,89344 Jenkins Radial,North Meghanstad,UT,31207,0659236,0.8,0659236.80263
landBasedReceiver,Fresh Fisheries,3645326204,64450 Barton Plains,North Cindyborough,NC,69041,1270184,0.05,1270184.30870
groceryNoTransform,Fresh Emporium,3567673252,77874 Sparks Shores Suite 032,Lake Christopherstad,NJ,01553,0628409,0.15,0628409.38714
distributor,Global Exim,7507578691,806 Barbara Extensions Apt. 622,South Jenniferchester,AZ,54514,1162643,0.05,1162643.66846
landBasedReceiver,Marine Aquatics,489-637-0627,1993 Anderson Club Suite 225,Lake Jacquelinefort,MA,77541,1178495,0.05,1178495.60027
seafoodFarm,Blue Fish Haven,(661)328-8666,67385 Nicole Crossroad,Keithville,NH,37229,1365418,0.05,1365418.85245
restaurant,Gourmet Eatery,(819)431-8983,38091 Steven Fields Apt. 028,Lake Anthonyville,AL,11361,0778049,0.05,0778049.70545
processor,Premium Industries,3842100659,0958 Monica Knoll,East Sally,OK,41778,1052465,0.05,1052465.40916
restaurant,Charming Cafe,9013785887,805 Daniels Path Apt. 461,Jennifermouth,ME,93311,1292045,0.15,1292045.17587
farm,Whispering Valley Farm,800-519-7449,7236 Smith Squares,Janiceberg,FL,44234,0859838,0.15,0859838.89923
restaurant,Charming Tavern,(602)656-8584,466 Stewart Lake,Port Jonathan,WA,43250,1139117,0.15,1139117.45297
groceryNoTransform,Natural Store,8806989509,371 Williams Shores,Sarahport,NY,14950,0998992,0.05,0998992.52303
distributor,Gourmet Trade,837-262-6227,9649 Christopher Square,Port Rhondaberg,FM,10396,0683969,0.05,0683969.76601
farm,Lucky Pastures Farm,(720)224-3391,79097 Martinez Brooks,Larsenview,NY,61620,0653518,0.05,0653518.77483
grocery,Wholesome Outlet,(990)969-3802,7122 Matthew Port Apt. 184,Ericfort,MA,15627,1397853,0.15,1397853.71147
seafoodFarm,Marine Aquafarm,(217)384-9764,7641 Jackson Ports,New Steven,WA,96910,0641346,0.05,0641346.33622
grocery,Gourmet Store,5369922087,27442 Roy Stravenue,South Stephanie,NV,73851,0629847,0.05,0629847.92676
seafoodFarm,Ocean Fish Farm,(329)223-1847,6384 Jennifer Loop Suite 281,New Patricia,ME,76900,0871276,0.05,0871276.13791
landBasedReceiver,Aqua Maritime,926-602-0035,17822 Jeff Port,New Thomasview,MD,83638,1245541,0.05,1245541.48887
processor,Natural Kitchen,(929)383-4908,41229 Jennifer Fort,Lake Mariaburgh,KS,71852,0737787,0.05,0737787.63574
grocery,Natural Bazaar,(909)637-9568,24765 Darrell Orchard,Youngburgh,AS,28297,0650355,0.05,0650355.38453
packaging,Secure Containers,9898575638,9458 Baker Wells,Dudleyfort,IA,71714,0823819,0.15,0823819.14998
seafoodFarm,Sea Fish Farm,345-606-9043,5735 Shaw Ferry,Robertsview,AL,43883,1215016,0.15,1215016.53775
grocery,Healthy Corner,5179402613,53515 Chandler Trafficway,Smithfurt,KS,42711,1298751,0.05,1298751.95136
seafoodFarm,Nautical Fishery,9783196335,58454 Jason Extensions,Lake Nicoleton,CA,44385,0617249,0.8,0617249.27389
distributor,Trusted Exim,(541)401-1282,05424 James Springs,Matthewchester,IN,37705,1256513,0.05,1256513.30947
processor,Innovative Kitchen,422-754-6609,7518 Schultz Fort Apt. 896,New Ashleystad,NY,42484,0773881,0.8,0773881.72802
seafoodFarm,Marine Aquafarm,242-646-0959,3637 Peterson Radial Suite 486,Rhondatown,MS,69881,0791890,0.05,0791890.44542
wholesaler,Prime Distributors,682-774-5100,739 Ashley Fall,Boothville,MI,20390,1260812,0.15,1260812.71000
restaurant,Exquisite Tavern,(577)944-8955,73205 Isaac Road Apt. 855,Lake Kerryland,CA,13039,0882857,0.05,0882857.29551
landBasedReceiver,Wave Coast,784-777-6031,129 Katherine Meadow Suite 477,Port Jessicaport,TX,91045,0772953,0.05,0772953.99569
processor,Healthy Foods,6988704802,97474 Jackson Stream Suite 659,Nicoleville,PW,83210,1342893,0.05,1342893.60393
seafoodFarm,Aqua Aquaculture,(686)231-5066,37604 Peggy Brook Apt. 929,Port Alyssafurt,MD,57997,1172094,0.05,1172094.56467
restaurant,Tasty Restaurant,8014521233,8421 Daniel Junction,New Brian,KY,51890,0846480,0.05,0846480.43404
wholesaler,Global Imports,6526699753,859 Wyatt Course,Lynchfurt,WV,47849,1051590,0.05,1051590.42142
processor,Global Cuisine,6873295691,8257 Janice Shore Suite 894,Wardbury,KS,10546,1261390,0.05,1261390.61493
wholesaler,Select Market,521-914-8585,912 Rebecca Expressway Suite 016,Josetown,NC,36488,1121021,0.05,1121021.32609
processor,Fresh Manufacturing,4633408639,66467 Orozco Mountain,Kristophershire,SD,70512,1060268,0.8,1060268.22605
wholesaler,Premium Traders,409-578-3259,8920 Myers Tunnel,Arnoldfort,ND,41685,1287411,0.15,1287411.62426
farm,Whispering Acres Farm,(921)630-1135,82596 Sims Parks Apt. 994,East Shannonmouth,WV,48028,1242996,0.15,1242996.94392
processor,Organic Industries,(254)583-0259,402 Snyder Land,Ortizmouth,WA,30690,1123670,0.05,1123670.99311
packaging,Advanced Encase,349-497-1633,17936 May Loaf,Andrewport,FM,13967,0726010,0.05,0726010.14405
distributor,International Distributors,3488357609,4636 Fitzgerald Lights,Lake Carol,LA,66756,0988066,0.05,0988066.91852
landBasedReceiver,Deep Bay,3515356180,03013 Baker Throughway Apt. 751,Spearsshire,RI,61847,1143069,0.05,1143069.46241
wholesaler,Quality Trading,673-560-6041,0615 Thomas Drive Apt. 210,Port Ronald,AR,89509,1182758,0.8,1182758.12683
groceryNoTransform,Gourmet Market,401-992-2377,345 Suarez Haven,South Sonya,TN,38201,0979720,0.05,0979720.86693
groceryNoTransform,Premium Shop,(337)804-1646,7181 Stephen Cape Apt. 506,West Loribury,GA,94851,1192003,0.05,1192003.97123
groceryNoTransform,Premium Market,4136717044,2027 Darren Avenue Suite 667,Morenoton,AS,05449,0963517,0.05,0963517.70146
landBasedReceiver,Fresh Aquatics,6295241919,6743 Sara Wall,West Jesus,VA,50312,0814012,0.8,0814012.13007
groceryNoTransform,Tasty Market,324-422-7753,86254 Cunningham Place Apt. 992,Gentrymouth,LA,11682,1334864,0.8,1334864.14759
packaging,Bio Packaging,(428)439-0840,4380 Debra Alley,West John,PA,21125,0770993,0.05,0770993.93650
groceryNoTransform,Healthy Emporium,672-743-0758,5456 Delgado Plaza Apt. 017,Cooperton,LA,11043,0940139,0.15,0940139.10556
processor,Organic Kitchen,2424821649,771 Michael Avenue,East Amberview,IN,60782,0984679,0.8,0984679.45667
packaging,Fresh Seal,(878)588-6820,2519 Leslie Streets Suite 622,Port Patricia,MO,85373,0857788,0.8,0857788.46962
seafoodFarm,Nautical Aquafarm,2662575136,2372 Cohen Lodge Suite 035,East Kelly,MA,59803,0921142,0.05,0921142.16724
distributor,Trusted Distributors,(958)655-2423,1075 Linda Springs Suite 016,Mullinsside,OR,62057,0787140,0.05,0787140.99744
restaurant,Exquisite Cuisine,682-266-4678,6597 Antonio Knolls,East Matthewbury,VI,55127,0984883,0.05,0984883.20207
restaurant,Gourmet Brasserie,451-450-8497,52374 Walker Meadows,Walterschester,NJ,12279,1346091,0.15,1346091.37238
farm,Whispering Grove Farm,910-761-7738,19591 Gilbert Island,Lake Jenniferstad,VI,03960,0990131,0.8,0990131.86605
seafoodFarm,Blue Aquafarm,(364)587-8642,7414 Misty Burg Apt. 604,East Brandonmouth,GA,26582,0973655,0.05,0973655.43223
landBasedReceiver,Fresh Mariscos,9594762937,384 Anna Gateway Suite 532,South Traciefurt,NH,52111,0615440,0.05,0615440.57508
groceryNoTransform,Healthy Bazaar,(501)508-5402,6593 Leslie Ports,Zacharyburgh,PA,81779,1058396,0.05,1058396.61002
seafoodFarm,Ocean Fish Farm,5125898450,033 Nicolas Run Suite 174,South Michelle,MA,33788,1128507,0.05,1128507.99002
seafoodFarm,Ocean Fishery,755-739-6905,6597 Jones Club Suite 426,Angelahaven,OR,32138,0623310,0.05,0623310.44384
distributor,Gourmet Exim,(834)444-2428,2337 Humphrey Gardens Apt. 099,Port Ashley,SC,35347,1136800,0.05,1136800.57646
farm,Happy Grove Farm,8362423622,9598 Anthony Port Apt. 813,Port Theresaburgh,ME,68732,1395818,0.05,1395818.70559
restaurant,Tasty Diner,(600)295-8157,02857 Weber Streets,North Christyside,OR,42850,0715456,0.15,0715456.81237
wholesaler,Gourmet Distributors,587-239-6348,002 Melanie Locks,Brettport,MH,16719,0926008,0.05,0926008.86271
restaurant,Tasty Cuisine,(813)997-3331,15758 Johnny Garden,Port Davidville,AK,33112,1095948,0.05,1095948.73380
seafoodFarm,Blue Aquaculture,(625)448-2278,0511 Boone Station,North Joshuamouth,WA,30723,0767576,0.05,0767576.92980
distributor,Premium Distribution,9584785190,56461 Smith Hills Apt. 026,Johnmouth,WV,38166,0893754,0.05,0893754.32531
farm,Sunny Harvest Farm,5652627101,970 Samuel Ways,Rodriguezhaven,OK,34576,1245928,0.05,1245928.45205
packaging,Bio Box,8718224593,21502 Tucker Extensions Apt. 512,North Corey,HI,09160,0655939,0.05,0655939.59802
landBasedReceiver,Deep Bay,804-297-7071,03260 Brooks Ford,Dunnborough,VA,16703,0952084,0.8,0952084.72068
processor,Organic Products,(227)729-1339,648 Freeman Pass Suite 750,East Ian,KY,09217,1216023,0.15,1216023.59084
restaurant,Cozy Restaurant,5862772256,83842 David Walks,Allisonstad,DC,45162,0854348,0.15,0854348.73771
grocery,Healthy Market,(538)553-5271,229 Blanchard Light Suite 019,Maxfurt,FM,95295,0690865,0.15,0690865.48488
grocery,Premium Bazaar,2408054521,21595 Timothy Crossroad Apt. 364,North Alexisbury,AZ,41873,1215614,0.8,1215614.20232
processor,Fresh Kitchen,(925)812-1680,801 Smith Avenue Apt. 260,Huberport,AR,07795,0910649,0.8,0910649.84828
wholesaler,Fresh Provisions,(344)500-1084,9262 Kimberly Island Apt. 372,Lake Annberg,AL,49918,0613042,0.15,0613042.73751
grocery,Premium Corner,8716913295,896 Joseph Mount,Port Barbara,AK,59372,0724481,0.05,0724481.23483
groceryNoTransform,Premium Store,5387474975,689 Carol Crossing,West Dianechester,MS,41231,1122656,0.05,1122656.39417
distributor,Fine Logistics,906-791-0125,32439 Maria Creek,East Paula,CA,38588,0958600,0.8,0958600.37016
seafoodFarm,Blue Fish Farm,311-515-2113,82390 Smith Tunnel,Thomasville,FL,66460,0963457,0.05,0963457.55580
restaurant,Delicious Cafe,227-925-0863,304 Amanda Vista,East Tara,TX,84060,0917469,0.15,0917469.43955
farm,Misty Meadows Farm,978-951-2145,27293 Eric Expressway,Powellberg,MT,69624,1065971,0.15,1065971.43690
wholesaler,Premium Market,(861)866-6357,3914 Alicia Ways,Manuelmouth,CA,32460,1240656,0.05,1240656.76175
seafoodFarm,Aqua Aquafarm,(873)970-6470,00252 Cody Way Suite 911,Smithton,NH,64019,0992487,0.05,0992487.26583
processor,Healthy Processing,233-671-4871,277 Rodriguez Springs Apt. 582,Port Lisa,HI,32256,0734280,0.05,0734280.77295
grocery,Delicious Corner,250-343-6644,040 Kevin Springs,Reynoldsshire,MA,44614,1270679,0.05,1270679.71402
restaurant,Flavorful Eatery,322-676-8101,2456 Ramsey Mount Suite 850,Morsechester,MH,65510,1016926,0.05,1016926.88818
groceryNoTransform,Healthy Mart,652-985-9027,0163 Myers Parks Suite 507,West Biancaview,OH,10123,1072765,0.15,1072765.30089
grocery,Healthy Corner,340-886-5802,13916 Donald Burgs Suite 791,New Stephenport,NC,97219,1384110,0.05,1384110.53492
distributor,Fine Imports,(717)529-9913,08237 Gonzalez Streets,Guzmanton,RI,76626,1282336,0.05,1282336.39209
distributor,Superior Distribution,829-622-1489,3881 Gordon Highway Apt. 567,South Timothyborough,RI,93606,0834270,0.05,0834270.79886
seafoodFarm,Marine Aquafarm,6658987135,26896 Griffin Prairie,Newmantown,TX,88954,1322139,0.05,1322139.26229
restaurant,Fusion Diner,846-245-1177,5413 Bond Crescent,Loriside,VI,70105,0743339,0.05,0743339.92473
processor,Fresh Provisions,(637)375-0526,29054 Antonio Parkway,East Benjamin,NV,02462,0712849,0.05,0712849.26522
restaurant,Savory Tavern,(583)801-1270,9935 Davis Plains,Smithville,OH,72638,1152255,0.05,1152255.11632
seafoodFarm,Marine Fish Haven,(723)490-3052,13016 Steven Lodge Apt. 171,South Jeffrey,CA,53900,1098799,0.8,1098799.57578
seafoodFarm,Nautical Fishery,9283330996,951 Robert Viaduct Apt. 755,West Jason,SC,55835,1335572,0.05,1335572.99316
grocery,Delicious Bazaar,(518)328-8258,053 Haley Ridge Apt. 201,South Mikaylatown,MT,17477,0894737,0.05,0894737.48891
wholesaler,Quality Trading,990-375-8420,08490 Teresa Walk,Randyton,AS,39031,0750004,0.8,0750004.24266
wholesaler,Best Wholesale,(313)215-3533,35579 Evans Vista,Johnsonmouth,OK,75352,1196769,0.05,1196769.39989
grocery,Delicious Emporium,4855221773,8952 David Alley Apt. 507,Hayeschester,PA,98474,0913891,0.8,0913891.21973
packaging,Secure Pack,7843255785,59842 Jason Street Apt. 472,South Jacksonchester,OK,02499,1326921,0.15,1326921.71464
grocery,Fine Bazaar,240-602-8551,6150 Michelle Point,North Jenniferland,MO,26021,1361705,0.15,1361705.54037
